,titles,prices
0,Realme C11 2021,"35,599"
1,VNUS SE22,"20,699"
2,Faywa K14 (3 SIM),"2,199"
3,Vivo V29e,"89,999"
4,Xiaomi 13T,"164,999"
5,Samsung Galaxy S23 FE,"188,599"
6,Sparx Neo 7 Pro,"24,099"
7,Vivo Y36,"57,999"
8,VNUS Sky 1,"16,199"
9,Oppo A78,"67,499"
10,itel Value 100s,"4,049"
11,Tecno Camon 20,"40,999"
12,Qmobile QGuru,"2,299"
13,Oppo A18,"33,299"
14,Realme C67,"48,499"
15,E-Tachi E-Prime,"3,899"
16,Nokia 130,"6,999"
17,Xiaomi Redmi 12,"32,499"
18,Vivo V29,"143,999"
19,Infinix Hot 40 Pro,"42,999"
20,Honor 90 Lite,"85,799"
21,Digit Glory 1,"13,999"
22,Sparx Neo 6,"21,899"
23,Samsung Galaxy A14,"42,999"
24,Realme C30,"17,799"
25,Infinix Smart 8 Plus,"25,399"
26,XSmart Nova 5,"18,999"
27,XMobile SL100 Plus Lite,"4,049"
28,Infinix Zero 30 4G,"65,999"
29,Motorola Moto G84 5G,"74,999"
30,GFive Spark,"2,325"
31,KXD Classic core A07,"20,999"
32,Samsung Galaxy Z Flip 5,"329,999"
33,Infinix Hot 30i,"31,599"
34,VGO TEL i710,"5,049"
35,Sparx Neo 11,"25,299"
36,Qmobile QSmart Ultra,"28,699"
37,ZTE Blade A54,"18,999"
38,me Mobile Magic Star,"3,550"
39,E-Tachi B13,"2,624"
40,GFive Style,"3,399"
41,Xiaomi Redmi Note 13,"59,999"
42,Samsung Galaxy A34,"101,999"
43,Oppo A16e,"38,749"
44,Vivo Y16,"35,199"
45,Motorola Moto G54 5G,"54,999"
46,VGO TEL iMusic Lite,"3,649"
47,GRACE 9,"24,799"
48,XMobile X4,"3,899"
49,XMobile Champion,"3,599"
50,Xmobile X101,"2,599"
51,E-Tachi B555,"2,199"
52,E-Tachi E40i,"3,799"
53,E-Tachi Mega Music Pro,"3,825"
54,E-Tachi iPro,"4,799"
55,Apple iPhone 11,"175,999"
56,Infinix Hot 30,"32,299"
57,GFive G251,"3,499"
58,GFive Gold,"2,949"
59,Calme C885,"3,699"
60,Dcode Cypher,"36,199"
61,Dcode Cygnal 2 Lite,"21,949"
62,VGO TEL i102,"2,599"
63,XMobile Music King,"3,899"
64,Faywa F6310,"3,249"
65,FAYWA Prime 2,"2,449"
66,Honor 90,"171,099"
67,Nokia 105 Plus,"5,499"
68,Vivo Y02,"30,999"
69,GRESSO E1280,"2,399"
70,GRESSO Turbo 2,"2,899"
71,E-Tachi B105,"2,599"
72,E-Tachi E200,"3,799"
73,Vivo Y17s,"32,799"
74,Realme C51,"25,199"
75,Digit 4G Energy Max,"9,499"
76,GFive G550 Power,"3,299"
77,Calme E1000,"3,799"
78,Calme Hero 4G,"9,599"
79,Digit Infinity,"14,499"
80,ZTE Blade A53 Pro,"19,299"
81,GRESSO CR7,"2,799"
82,Xmobile X2 Plus,"2,899"
83,Motorola Moto G23,"37,999"
84,FAYWA J3 Slim,"3,099"
85,Xiaomi Redmi A1+,"18,399"
86,Realme 9i,"77,499"
87,Itel Super Guru 600,"4,599"
88,ZTE Blade A72s,"25,199"
89,me Mobile M106,"2,699"
90,XMobile X7,"4,099"
91,XMobile X1,"2,799"
92,Xmobile Dabang Pro,"3,799"
93,E-Tachi Music E1000,"3,799"
94,Spice S5026,"2,999"
95,Club Mobile Maula Jutt,"3,699"
96,Faywa E1000 Music,"3,600"
97,Calme Music 300,"3,799"
98,QMobile E400 Pro,"4,549"
99,Vivo Y02t,"26,199"
100,Apple iPhone 15 Plus,"416,499"
101,FAYWA Prime 3,"2,449"
102,Sparx Neo 6 Plus,"17,999"
103,Sparx Note 20,"39,499"
104,Calme M221,"3,249"
105,Honor 90 Lite,"85,799"
106,Sparx S6,"11,299"
107,Apple iPhone 14 Pro,"505,999"
108,Realme C21,"33,499"
109,GFive Cobra,"3,249"
110,ZTE Blade A51,"15,299"
111,Apple iPhone 15 Pro,"472,999"
112,Tecno Phantom V Flip,"189,999"
113,FAYWA Magic 1,"2,575"
114,Itel Magic 4,"6,199"
115,me Mobile L788,"2,599"
116,XMobile Mega Gabbar,"3,999"
117,XMobile X2 Play,"2,699"
118,Xmobile D4 Lite,"4,049"
119,E-Tachi Mega King,"3,949"
120,Faywa Music 800,"3,300"
121,Apple iPhone 14 Plus,"499,999"
122,Tecno Pova Neo,"31,999"
123,Apple iPhone 15,"406,999"
124,Apple iPhone 15 Pro Max,"548,999"
125,FAYWA Eagle 2 (4 SIM),"3,299"
126,GFive Crown,"2,325"
127,GFive Speed,"2,799"
128,Calme i14 Max,"4,099"
129,ZTE Blade V30 Vita,"22,299"
130,me Mobile M6310,"2,749"
131,me Mobile L109,"3,149"
132,XMobile Music Ka Sultan Plus,"3,899"
133,XMobile Gabbar Plus,"3,599"
134,XMobile X4 Plus,"3,749"
135,XMobile Music Master,"3,699"
136,E-Tachi E8 Classic,"3,649"
137,E-Tachi Magic E5,"3,749"
138,E-Tachi E444,"3,749"
139,Spice S5,"2,999"
140,itel A17,"10,999"
141,REMAXX Eco,"2,899"
142,Xmobile X16,"3,999"
143,E-Tachi E888,"3,749"
144,Faywa F4,"2,899"
145,Faywa J2 CLASSIC,"3,149"
146,Sparx S9,"13,799"
147,Sparx Neo 5 Plus,"19,299"
148,QMobile SL50i,"3,999"
149,Samsung Galaxy S22 Ultra,"399,999"
150,Samsung Galaxy S23 Ultra,"494,999"
151,Infinix Smart 7 HD,"19,599"
152,Oppo A54,"59,499"
153,Oppo A76,"66,999"
154,Vivo Y33s,"51,999"
155,Tecno Camon 20 Pro,"60,999"
156,itel Muzik 410 Pro,"4,299"
157,Itel A49 Play,"16,499"
158,Dcode Bold 2,"31,999"
159,VGO TEL i251,"3,279"
160,VGO TEL iMusic,"4,199"
161,VGO TEL i12,"4,699"
162,VGO TEL NEW 12,"15,049"
163,FAYWA F14 Pro (4 Sim),"4,099"
164,Itel it2166,"2,649"
165,GRESSO R106 Pro,"2,549"
166,GRESSO R106,"2,799"
167,XMobile F6 Plus,"3,899"
168,XMobile X3,"2,899"
169,E-Tachi B12,"2,599"
170,E-Tachi E4i,"4,599"
171,E-Tachi E5310 Lite,"3,799"
172,Club Mobile A1000,"3,799"
173,Calme Music 600,"3,699"
174,Jazz Digit Crown 4G,"6,299"
175,Sparx Neo 7 Ultra,"26,299"
176,QMobile SL100 Power,"4,299"
177,QMobile E400i,"3,599"
178,QMobile Music 400 Pro,"3,699"
179,QMobile SL100 Big,"4,299"
180,Nokia 130,"6,999"
181,Nokia 105 2022,"6,199"
182,Nokia C31,"23,999"
183,Samsung Galaxy A33 5G,"100,999"
184,Samsung Galaxy Z Fold 5,"517,499"
185,Oppo A16,"24,499"
186,Oppo A57,"43,299"
187,Vivo V25 5G,"140,499"
188,GFive G3310,"2,749"
189,GFive Big Fighter,"2,749"
190,GFive Fighter,"2,899"
191,GFive Rock,"2,849"
192,Realme C35,"31,999"
193,VGO TEL S20,"4,499"
194,VGO TEL i14,"3,650"
195,VGO TEL New 15,"16,699"
196,me Mobile Grace 10,"29,999"
197,XMobile X4 Lite,"3,999"
198,XMobile X1 Lite,"2,399"
199,Club Mobile A3000,"3,399"
200,VGO TEL Note 23,"29,999"
201,Dcode Bold 3,"28,999"
202,VGO TEL New 24,"20,499"
203,Motorola Moto G54 5G,"54,999"
204,Infinix Note 30,"38,499"
205,Sparx S3,"10,399"
206,QMobile SL100,"3,949"
207,QMobile Music Ka Sultan,"3,799"
208,Infinix Hot 30,"30,099"
209,Oppo A16K,"39,999"
210,Oppo A16K,"39,999"
211,Infinix Hot 30,"30,099"
212,Vivo Y21,"53,499"
213,Vivo Y02s,"29,299"
214,Vivo Y27,"46,799"
215,Itel Magic 3 Titan,"5,499"
216,E-Tachi B222 lite,"2,999"
217,VGO TEL i10,"4,299"
218,VGO TEL Four 44,"4,299"
219,VGO TEL S9,"4,499"
220,VGO TEL New 22,"20,999"
221,VGO TEL S22,"4,899"
222,VGO-TEL V5310,"4,699"
223,Jazz Digit Music 4G,"7,499"
224,GFive Rose,"3,299"
225,GFive Don,"2,849"
226,me Mobile M-1110,"2,299"
227,me Mobile Magic Power,"2,749"
228,E-Tachi E5310,"3,749"
229,E-Tachi B222,"2,999"
230,Qmobile Q150,"2,799"
231,Nokia 110 2022,"7,999"
232,Sparx Neo X,"23,299"
233,Nokia 110 (2019),"6,999"
234,Nokia 105 Plus,"5,499"
235,Oppo F21 Pro 5G,"139,999"
236,Samsung Galaxy Z Flip 4,"209,999"
237,Infinix Zero 30 5G,"104,999"
238,Vivo Y73,"79,499"
239,Tecno Spark Go 2023,"23,799"
240,Itel Vision 3,"16,999"
241,Dcode Cygnal,"21,499"
242,VGO TEL NEW 20,"18,299"
243,VGO TEL Smart HI-FI,"5,324"
244,VGO TEL S10,"4,499"
245,Honor X6a,"31,999"
246,Gionee Q26,"3,499"
247,Nokia 150 (2020),"9,499"
248,Nokia 110 4G,"5,999"
249,Samsung Galaxy A53 5G,"121,999"
250,Apple iPhone 13,"334,999"
251,Infinix Hot 12,"32,999"
252,Infinix Hot 12 Play,"31,999"
253,Xiaomi 12,"199,999"
254,Xiaomi Redmi Note 12S,"74,999"
255,Realme 9 4G,"97,299"
256,Realme 9 Pro Plus,"95,999"
257,Tecno Camon 18 Premier,"74,999"
258,Tecno Camon 18P,"45,499"
259,Tecno Camon 19 Pro,"49,999"
260,itel Vision 1 Pro,"16,249"
261,itel Power 410,"3,199"
262,itel Value 110s,"3,399"
263,Itel Magic 3,"5,499"
264,Itel A49,"17,499"
265,itel Value 110,"2,899"
266,Dcode X,"46,199"
267,VGO TEL i261,"4,350"
268,Xiaomi 13T Pro,"229,999"
269,X-CELL XL-602,"2,699"
270,Xmobile X50,"3,799"
271,Club Mobile A9 Victory,"3,299"
272,Club Mobile A95 Plus,"3,599"
273,Faywa L9,"2,599"
274,QMobile G3,"4,399"
275,Nokia 5710,"17,999"
276,Infinix Hot 11 Play,"27,999"
277,Infinix Smart 6 HD,"22,499"
278,Infinix Zero 20,"79,999"
279,Xiaomi Redmi Note 11 Pro,"45,999"
280,Xiaomi Poco X5 Pro,"105,999"
281,Samsung Galaxy S23,"359,999"
282,Oppo A77s,"74,999"
283,Tecno Pop 5,"17,299"
284,Tecno Camon 19 Neo,"41,999"
285,Xiaomi Poco C65,"34,499"
286,Digit Bravo,"2,799"
287,Itel 5026,"5,249"
288,me Mobile L110,"1,599"
289,me Mobile Power Star,"1,675"
290,me Mobile DJ Master,"2,199"
291,Xmobile Platinum 1000,"4,099"
292,Club Mobile 105A,"2,599"
293,Faywa L5,"2,649"
294,Samsung Galaxy S24,"269,999"
295,Samsung Galaxy A32,"79,999"
296,QMobile i4i,"7,999"
297,Calme M17,"2,675"
298,Infinix Hot 20i,"32,799"
299,Xiaomi Redmi Note 11,"54,999"
300,Xiaomi Redmi 10C,"42,099"
301,Xiaomi Redmi 12C,"23,999"
302,itel Muzik 400 Core,"3,650"
303,Itel A26,"15,699"
304,Realme C53,"37,199"
305,Tecno Camon 20 Premier,"124,999"
306,me Mobile Power Bold,"2,999"
307,me Mobile L786,"2,899"
308,REMAXX R1280,"2,699"
309,XMobile SL100 Plus,"3,649"
310,XMOBILE X1 PLAY,"3,299"
311,Xmobile X101 Plus,"2,749"
312,Xmobile X Flip,"3,564"
313,E-Tachi E200 Lite,"3,899"
314,Club Mobile A5000,"3,499"
315,Faywa L2,"2,530"
316,Faywa Music 400,"3,299"
317,Samsung Galaxy S24 Ultra,"434,999"
318,Samsung Galaxy A22,"55,999"
319,Infinix Smart 7,"24,599"
320,Xiaomi Redmi 9C,"29,999"
321,Vivo Y33T,"84,999"
322,Realme C25s,"40,600"
323,Tecno Camon 18T,"41,999"
324,Tecno Spark 8 Pro,"38,199"
325,Tecno Camon 19 Pro Mondrian,"64,999"
326,itel Value 100,"2,899"
327,VGO TEL I550,"4,300"
328,GFive Hero,"3,249"
329,Calme C106,"2,699"
330,Calme C105,"2,699"
331,me Mobile Power Max,"1,775"
332,GRESSO G110,"3,099"
333,Xmobile Battery Ka Badshah,"2,899"
334,E- Tachi Mega Metal,"3,799"
335,E-Tachi iPro Max,"4,899"
336,Club Mobile A20,"3,499"
337,Club Mobile 106,"2,599"
338,Faywa Music 600,"3,499"
339,Faywa SL100,"3,275"
340,Faywa B1 Mini,"2,599"
341,Infinix Smart 8 Pro,"25,699"
342,Samsung Galaxy A12,"39,499"
343,Samsung Galaxy A03,"26,699"
344,Samsung Galaxy A23,"74,199"
345,Nokia 106 (2018),"5,499"
346,Oppo A17,"35,799"
347,Infinix Note 12 G88,"38,999"
348,Infinix Note 12 G96,"45,499"
349,Xiaomi Redmi 10A,"23,999"
350,VGO TEL I255,"2,200"
351,VGO TEL i11,"2,900"
352,Calme Classic,"2,600"
353,REMAX Thunder Pro,"2,710"
354,Faywa Magic 2,"2,175"
355,Fawya E2000 Music,"4,025"
356,Calme C888,"3,299"
357,XMobile X6 Lite,"3,299"
358,Calme C16,"2,999"
